out,in
java-1.8.0-openjdk-fastdebug,giflib
java-1.8.0-openjdk-slowdebug,giflib
abrt-gui-libs,gtk3
pcp-pmda-netcheck,python3-pcp
imlib2,glibc
totem-nautilus,gstreamer1-plugins-base
nbdkit-basic-filters,nbdkit-server
python3-gobject,cairo
xdg-desktop-portal,glib2
pcp-testsuite,perl
samba,systemd
libreoffice-calc,libicu
libisofs,libacl
cracklib,gzip
postgresql-upgrade,libxcrypt
maven-install-plugin,maven-shared-utils
rpm-build-libs,libdb
liborcus,libgcc
libffado,libgcc
libubsan,libgcc
libmspub,libgcc
libproxy,libgcc
libplist,libgcc
rpm-build-libs,glibc
libunrar,libgcc
rpm-plugin-ima,bzip2-libs
sblim-gather,libgcc
poppler-glib,glibc
qt5-qtwayland,libwayland-egl
deepin-default-settings,platform-python
libmspub,libicu
libvisio,libicu
python3-ipatests,python3-ipaserver
python3-ipatests,python3-ipaclient
libwinpr,libicu
guice-parent,javapackages-filesystem
xdg-desktop-portal,glibc
python3-libsss_nss_idmap,libsss_nss_idmap
qt5-qtquickcontrols-examples,libgcc
plymouth-plugin-fade-throbber,glibc
dropwatch,zlib
sssd-ad,popt
samba-krb5-printing,samba-client
texlive-xetex,perl-SelfLoader
poppler-glib,glib2
libopenraw-gnome,gdk-pixbuf2
redhat-lsb-core,passwd
perl-NKF,glibc
libdb-cxx,libgcc
gnome-boxes,libxml2
malaga,bash
python38-tkinter,glibc
nss,glibc
texlive-pstricks,texlive-tools
perl-libwww-perl,perl-URI
rsyslog-mmfields,rsyslog
ksh,coreutils
fonts-tweak-tool,platform-python
mingw64-cairo,mingw64-gcc
os-prober,util-linux
perl-generators,perl
pulseaudio-libs-glib2,libXtst
xmvn-minimal,bash
libvirt-daemon,dbus
fence-agents-vmware-soap,fence-agents-common
lvm2-dbusd,dbus
lftp,readline
perl-Taint-Runtime,perl-interpreter
python38-pip-wheel,ca-certificates
plexus-components-pom,plexus-pom
perl-Devel-Caller,perl-interpreter
dde-api,atk
mc,perl
postgresql-upgrade,bash
sonatype-plugins-parent,forge-parent
kwin-wayland,freetype
python3-speechd,speech-dispatcher
python3-bind,python3-ply
cockpit-pcp,pcp-libs
ocaml,glibc
emacs-lucid,libacl
authselect-libs,glibc
speech-dispatcher,glibc
python3-pillow,libjpeg-turbo
exiv2-libs,libgcc
papi-libs,libpfm
gedit-plugin-wordcompletion,cairo
gfbgraph,json-glib
perl-core,perl-SelfLoader
xorg-x11-server-Xwayland,glibc
speech-dispatcher,glib2
clutter-gtk,libXcomposite
gnome-session,json-glib
libknet1-compress-plugins-all,libknet1-compress-lzma-plugin
cyrus-imapd-utils,libical
texlive-collectbox,texlive-kpathsea
librevenge,zlib
perl-XML-LibXML,perl-Carp
evince-libs,gtk3
perl-XML-Parser,perl-Carp
libvirt-daemon-config-nwfilter,bash
rpm-ostree,systemd-libs
gtk3-immodule-xim,libX11
gtk2-immodule-xim,libX11
kf5-kxmlgui,kf5-kconfigwidgets
perl-IO-Multiplex,perl
git-core,openssh-clients
mod_auth_mellon-diagnostics,openssl-libs
gnome-calculator,mpfr
udisks2-iscsi,libgudev
pcp-pmda-perfevent,bash
pcp-pmda-nfsclient,bash
python3-netifaces,python3-libs
gedit-plugins-data,gedit
mingw32-expat,mingw32-pkg-config
python3-firewall,python3-dbus
abrt-addon-ccpp,abrt-addon-coredump-helper
git-daemon,openssl-libs
perl-Filter,perl-libs
kf5-frameworkintegration,kf5-attica
gedit,libxml2
metacity,libXext
qgnomeplatform,qt5-qtwayland
texlive-oberdiek,texlive-base
qt5-qtxmlpatterns,qt5-qtbase
kdecoration,qt5-qtbase-gui
pcre,glibc
swtpm,policycoreutils
nss-softokn-freebl,glibc
nss_wrapper,perl-libs
polardb,openssl-libs
python3-rpm,lua-libs
python3-rpm,rpm-libs
deepin-font-manager,fontconfig
python3-libsvm,libsvm
pcp-pmda-rabbitmq,pcp-libs
python3-pyqt5-sip,libstdc++
perl-DBD-SQLite,sqlite-libs
jose,zlib
bcel,javapackages-filesystem
geronimo-parent-poms,java-1.8.0-openjdk-headless
gnome-keyring,openssh-clients
gnome-desktop3,systemd-libs
libmusicbrainz5,libgcc
google-noto-sans-brahmi-fonts,bash
inkscape,gtkmm24
webkit2gtk3,libwebp
rsyslog-elasticsearch,glibc
python3-libsvm,gnuplot
libreport-plugin-rhtsupport,libxml2
maven-invoker-plugin,maven-script-interpreter
ipa-python-compat,ipa-common
xmltoman,perl-XML-Parser
libreoffice-calc,zlib
qemu-kvm-block-curl,qemu-kvm-common
qpdf,perl-libs
cyrus-sasl-ntlm,glibc
GConf2,polkit-libs
cyrus-sasl-ldap,glibc
maven-enforcer-rules,plexus-utils
netpbm-progs,ghostscript
python2-libs,python2-pip-wheel
xmlsec1-nss,xmlsec1
deepin-compressor,libgcc
flatpak-session-helper,systemd
mysql-server,mysql
libblockdev-fs,parted
bacula-libs,openssl-libs
resource-agents,util-linux
texlive-context,389-ds-base
google-noto-sans-deseret-fonts,bash
perl-core,perl-File-Path
virt-viewer,spice-glib
sendmail,bash
llvm-libs,libgcc
perl-XML-LibXML,perl-IO
perl-XML-Parser,perl-IO
felix-parent,apache-parent
gdk-pixbuf2,shared-mime-info
rpm-plugin-systemd-inhibit,libdb
pcp-testsuite,pcp-pmda-bash
fdo-manufacturing-server,openssl-libs
perl-Test-Warnings,perl-parent
dde-daemon,libXfixes
dde-daemon,libxcrypt
texlive-xdvi,bash
redhat-lsb-languages,perl-Pod-Plainer
qt5-qtgraphicaleffects,libstdc++
sane-backends-drivers-scanners,libtiff
emacs-common,bash
devhelp-libs,pango
xorg-x11-fonts-ISO8859-14-75dpi,bash
python39-libs,bash
imake,OpenIPMI-perl
perl-Compress-Raw-Bzip2,perl-Carp
krb5-libs,ModemManager
virt-viewer,gdk-pixbuf2
mod_http2,libnghttp2
java-1.8.0-openjdk,libjpeg-turbo
resteasy,jackson-annotations
plexus-component-factories-pom,javapackages-filesystem
createrepo_c,libmodulemd
perl-IO-Zlib,gzip
lorax-composer,python3-rpmfluff
nss_nis,glibc
gstreamer1-plugins-good-gtk,atk
samba-client-libs,libcom_err
gnome-characters,libunistring
postfix-cdb,tinycdb
python3-libsemanage,glibc
gcc,mingw32-binutils
gtkmm24,fontconfig
HdrHistogram,javapackages-filesystem
gnome-screenshot,gtk3
texlive-xifthen,texlive-etex-pkg
cloud-utils-growpart,util-linux
rrdtool-lua,libxml2
kf5-kservice,kf5-ki18n
python3-ldb,libldb
inkscape,popt
texlive-context,texlive-mflogo-font
texlive-tabulary,texlive-kpathsea
maven-surefire,maven-shared-utils
maven-enforcer-rules,maven-lib
ffmpeg,SDL2
perl-HTML-Parser,perl-Carp
testng,javapackages-filesystem
perl-HTML-Parser,perl-libs
gedit-plugin-multiedit,gedit-plugins-data
webkit2gtk3,libxml2
jmc-core,lz4-java
systemd,libseccomp
fltk,libpng
libquvi,libcurl
mingw64-glib2-static,mingw64-glib2
git-email,perl-libnet
librepo,libcurl
libcmis,libcurl
felix-gogo-command,javapackages-filesystem
libgit2,libcurl
php-mbstring,php-common
mariadb-server,shadow-utils
texlive-collection-xetex,texlive-base
texlive-collection-latex,texlive-base
texlive-lib,glibc
batik-css,javapackages-filesystem
emacs-nox,libxml2
jakarta-commons-httpclient-manual,jakarta-commons-httpclient-javadoc
libreoffice-writer,libreoffice-ure
gcc-toolset-10-gcc-c++,gcc-toolset-10-gcc
kf5-kio-core,kf5-kservice
xorg-x11-drv-libinput,xorg-x11-server-Xorg
pptp,systemd
mod_ldap,httpd
mod_ldap,glibc
evolution-data-server-perl,perl-interpreter
java-17-openjdk,libXtst
java-11-openjdk,libXtst
lorax-composer,anaconda-tui
highlight-gui,libstdc++
kf5-kio-core,kf5-ktextwidgets
perl-App-cpanminus,perl
deepin-terminal,glib2
qt5-qtserialbus-examples,qt5-qtbase
fapolicyd,libseccomp
kf5-attica,libstdc++
ucx-rdmacm,ucx
kf5-kio,kf5-kio-file-widgets
totem,libX11
python3-pycparser,python3-ply
perl-core,perl-Pod-Escapes
evolution-ews,gtk3
evolution-pst,gtk3
java-11-alibaba-dragonwell,xorg-x11-fonts-Type1
libverto-libevent,glibc
scala,java-1.8.0-openjdk-headless
jmc,jmc-core
deepin-terminal,glibc
pavucontrol,libX11
osbuild-luks2,platform-python
tuned-profiles-compat,qemu-kvm-common
xmlrpc-c-c++,libstdc++
sssd-dbus,popt
icedax,cdparanoia
torque-libs,openssl-libs
libradosstriper1,glibc
mingw64-libjpeg-turbo,mingw64-filesystem
NetworkManager-libnm,glib2
gssntlmssp,libwbclient
deepin-compressor,p7zip
mutter,pipewire-libs
texlive-collection-basic,texlive-enctex
xmvn-bisect,beust-jcommander
p7zip-plugins,libstdc++
perl-POSIX,perl
deepin-screen-recorder,dtkcore
perl-Devel-Size,glibc
perl-Devel-Peek,glibc
java-1.8.0-openjdk-headless-fastdebug,zlib
libreoffice-langpack-nb,libreoffice-help-nb
anaconda-core,python3-requests-file
texlive-ltabptch,texlive-tools
perl-Term-Size-Any,perl-Term-Size-Perl
fdo-client,bash
pulseaudio-module-x11,glibc
qt5-qtwebsockets-examples,libstdc++
libreoffice-calc,libxml2
NetworkManager-libnm,glibc
cogl,libXfixes
cogl,libXrandr
cargo,rust
amanda,perl-Carp
maven-resolver,slf4j
libreoffice-core,freetype
crda,iw
gnome-color-manager,cairo
augeas,libselinux
rpm-build,elfutils-libelf
java-11-alibaba-dragonwell-headless-fastdebug,freetype
perl-HTML-Parser,perl-IO
libguestfs-rsync,rsync
libreport-gtk,satyr
libreport-cli,satyr
texlive-seminar,texlive-pstricks
xorg-x11-server-Xorg,xorg-x11-server-common
libreport-web,satyr
libvirt-daemon-driver-storage-core,libxml2
fence-agents-rsa,platform-python
ansible-freeipa,platform-python
gnome-tweaks,python3-gobject-base
dde-qt5xcb-plugin,glibc
java-17-openjdk-headless,freetype
libmspub,librevenge
libvisio,librevenge
java-11-openjdk-headless,freetype
perl-core,perl-CPAN-Meta-Requirements
fence-agents-all,fence-agents-ilo-mp
mesa-vulkan-drivers,elfutils-libelf
urw-base35-fonts,urw-base35-standard-symbols-ps-fonts
python39-libs,python39-pip-wheel
perl-HTTP-Date,perl
perl-HTTP-Tiny,perl
amanda-client,perl-Getopt-Long
bind9.16-utils,libidn2
texlive-bidi,texlive-latex
texlive-pspicture,texlive-base
java-1.8.0-openjdk,libpng
mlocate,systemd
texlive-bidi,texlive-iftex
texlive-bidi,texlive-tools
texlive-bera,texlive-latex
perl-threads,perl-Carp
texlive-bera,texlive-tetex
pavucontrol,pulseaudio-libs-glib2
urw-base35-fonts,urw-base35-nimbus-mono-ps-fonts
qt5-qtxmlpatterns-examples,libgcc
java-11-alibaba-dragonwell-slowdebug,zlib
java-11-alibaba-dragonwell-fastdebug,zlib
libreoffice-langpack-sk,autocorr-sk
fwupd,libgudev
clevis,glibc
clippy,glibc
mod_security-mlogc,libcurl
texinfo,perl-Carp
mod_ldap,openldap
java-1.8.0-openjdk-src,java-1.8.0-openjdk-headless
infiniband-diags,ModemManager
perl-DBI,perl-IO
maven-wagon,plexus-utils
java-1.8.0-openjdk,alsa-lib
kf5-kitemviews,qt5-qtbase-gui
texlive-tex4ht,bash
sssd-kcm,bash
eth-tools-basic,net-snmp-utils
texlive-fancyvrb,texlive-base
flatpak-builder,libsoup
boost-graph,libstdc++
gtk3,libXcomposite
gtk2,libXcomposite
libchamplain-gtk,clutter
maven-resolver-test-util,javapackages-filesystem
texlive-etex-pkg,texlive-base
pygtk2,gtk2
git-core,less
texlive-anyfontsize,texlive-kpathsea
git-core,bash
fwupd,libgcab1
git-all,git-credential-libsecret
389-ds-base,cyrus-sasl-gssapi
coreos-installer,kpartx
metacity,cairo-gobject
resource-agents,glibc
hyphen-et,hyphen
mod_auth_gssapi,libcom_err
open-vm-tools-desktop,libXi
xorg-x11-xauth,libXmu
texlive-euenc,texlive-kpathsea
texlive-eepic,texlive-kpathsea
texlive-euler,texlive-kpathsea
cups,cups-filesystem
sssd-ipa,systemd-libs
deepin-calculator,qt5-qtbase-gui
spice-vdagent,libXinerama
powermock-reflect,powermock-common
kf5-kconfigwidgets,kf5-kwidgetsaddons
rpm-plugin-fapolicyd,glibc
perl-XML-TokeParser,perl-XML-Catalog
bind,bind-libs-lite
sudo,coreutils
dde-session-shell,libXtst
resource-agents,glib2
libcephfs2,libstdc++
httpd,mailcap
texlive-latex2man,info
usbredir,libusbx
usbutils,libusbx
deepin-log-viewer,zlib
xorg-x11-fonts-ethiopic,xorg-x11-font-utils
rpm-build,libcap
texlive-collection-latex,texlive-carlisle
cairomm,libstdc++
supermin,dnf-plugins-core
perl-PadWalker,perl-interpreter
tracker,glibc
apr-util-ldap,apr-util
texlive-epstopdf,perl-Getopt-Long
jss,slf4j-jdk14
emacs-lucid,Xaw3d
texlive-cm,texlive-tetex
kf5-kdesignerplugin,kf5-kconfig-core
git,perl-Getopt-Long
xorg-x11-xauth,libXext
accountsservice-libs,glib2
kwin-libs,kf5-kwindowsystem
kf5-rpm-macros,gcc-c++
texlive-chngcntr,texlive-kpathsea
libosinfo,osinfo-db-tools
boost,boost-context
dde,deepin-diskmanager
perl-Text-Soundex,perl-libs
libcollection,glibc
tracker,glib2
qemu-kvm-block-gluster,glusterfs-api
accountsservice-libs,glibc
mesa-libgbm,expat
qt5-qtbase-gui,libpng
dde-qt5xcb-plugin,libglvnd-glx
perl-Unicode-UTF8,perl-libs
mod_dav_svn,glibc
xmlsec1-gcrypt,libtool-ltdl
stratisd-dracut,systemd-libs
perl-podlators,perl-Term-Cap
libgphoto2,lockdev
exec-maven-plugin,maven-project
emacs,webkit2gtk3
google-noto-sans-tai-viet-fonts,bash
thai-scalable-kinnari-fonts,thai-scalable-fonts-common
rpm-build,elfutils-libs
hunspell-sc,hunspell
hunspell-sr,hunspell
netconsole-service,iproute
hunspell-so,hunspell
hunspell-sk,hunspell
lm_sensors-sensord,lm_sensors-libs
texlive-epstopdf,texlive-base
hunspell-sv,hunspell
hunspell-sq,hunspell
hunspell-ss,hunspell
hyphen-kn,hyphen
cheese,libglvnd-egl
squid,expat
open-vm-tools,which
gcc-toolset-10-gdb,libselinux
glassfish-annotation-api-javadoc,javapackages-filesystem
anaconda-gui,anaconda-core
qt5-qtcanvas3d-examples,qt5-qtbase-gui
motif,libXmu
ibus-libpinyin,ibus-libs
fence-virtd-libvirt,nspr
qt5-qtsvg-examples,libglvnd-glx
spax,bash
ypserv,systemd-libs
sssd-proxy,popt
chrony,libseccomp
onboard,libcanberra
tengine,luajit
389-ds-base-snmp,cracklib
dbxtool,bash
timedatex,polkit
lvm2-lockd,libsepol
dotnet-apphost-pack-3.1,glibc
dotnet-apphost-pack-3.0,glibc
tesseract-langpack-kan,tesseract
tesseract-langpack-hat,tesseract
tesseract-langpack-tur,tesseract
tesseract-langpack-glg,tesseract
tesseract-langpack-lao,tesseract
tesseract-langpack-mlt,tesseract
tesseract-langpack-eus,tesseract
tesseract-langpack-yor,tesseract
tesseract-langpack-srp,tesseract
tesseract-langpack-san,tesseract
kf5-knewstuff,kf5-kconfig-core
perl-debugger,perl
libguestfs-gobject,glib2
jack-audio-connection-kit,shadow-utils
dde-dock-onboard-plugin,glibc
gnome-remote-desktop,libnotify
rhythmbox,libxml2
perl,perl-constant
libguestfs,pcre
lorax-composer,libgit2-glib
cheese-libs,libxkbcommon
texlive-type1cm,texlive-base
texlive-textpos,texlive-base
maven-toolchain,javapackages-filesystem
gnome-common,automake
texlive-tocloft,texlive-base
texlive-titling,texlive-base
gnome-control-center,libXi
libguestfs-gobject,glibc
elfutils-libs,elfutils-default-yama-scope
abrt-gui,abrt-gui-libs
teamd,bash
pacemaker,bzip2-libs
tpm2-tss,glibc
python38-pytest,python38-setuptools
python38-jinja2,python38-setuptools
perl-Net-SSLeay,perl-Errno
perl-Net-Server,perl-Errno
openssh-ldap,glibc
execstack,coreutils
file-libs,zlib
cyrus-imapd-utils,glibc
wget,zlib
perl-Package-Stash,perl-Dist-CheckConflicts
spirv-tools-libs,libstdc++
redhat-lsb-core,pam
libreswan,unbound-libs
python38-pytest,python38
sssd-ldap,libdhash
libXrandr,glibc
ostree,bash
geocode-glib,libgcc
dracut,procps-ng
vulkan-loader,glibc
fcoe-utils,libpciaccess
python3-sphinx,python3-pygments
libblockdev,libblockdev-utils
kf5-kunitconversion,libstdc++
kf5-kio-file-widgets,kf5-kio-core-libs
libblockdev-plugins-all,libblockdev-fs
highlight-gui,glibc
glassfish-fastinfoset,xmlstreambuffer
PackageKit,librepo
texlive-mathspec,texlive-fontspec
texlive-preprint,texlive-kpathsea
devhelp,pango
javapackages-tools,coreutils
google-noto-sans-kharoshthi-fonts,google-noto-fonts-common
google-noto-sans-saurashtra-fonts,google-noto-fonts-common
perl-Package-DeprecationManager,perl-Sub-Install
vino,pango
anolis-logos,bash
po4a,perl-Pod-Parser
bpg-serif-modern-fonts,bpg-fonts-common
perl-Test-Harness,perl-Carp
gettext,libgcc
python39-psycopg2,glibc
intel-gpu-tools,libXdamage
uid_wrapper,glibc
glusterfs,zlib
glusterfs,bash
gssproxy,libselinux
ghostscript-tools-dvipdf,ghostscript
brltty,alsa-lib
gnome-keyring,gcr
texlive-base,bash
texlive-zapfding,texlive-base
wireshark,libgcc
gcc-toolset-11-systemtap-runtime,libgcc
perl-Module-CPANfile,perl-CPAN-Meta
mingw64-gettext-static,mingw64-gettext
gcc-toolset-10-systemtap-runtime,libgcc
perl-Getopt-Long,perl-constant
librbd1,systemd-libs
pcp-pmda-mailq,glibc
bitmap-fonts-compat,ucs-miscfixed-fonts
libusbx,systemd-libs
pcp-pmda-smart,glibc
pcp-pmda-cisco,glibc
perl-Unicode-LineBreak,perl-libs
kernelshark,glib2
libcephfs2,boost-system
openscap-scanner,openscap
sblim-wbemcli,glibc
perl-core,perl-Test-Simple
kf5-kio-widgets-libs,kf5-kconfig-gui
libappindicator-gtk3,gtk3
gnome-system-monitor,libgcc
qemu-kvm-ui-opengl,pixman
python3-oauth2client,python3-gflags
bind9.16,coreutils
sushi,json-glib
gnome-initial-setup,polkit-libs
perl-Module-ScanDeps,perl-File-Temp
autoconf,perl-Errno
automake,perl-Errno
dirsplit,perl-Scalar-List-Utils
php-mysqlnd,php-pdo
java-11-openjdk-devel-slowdebug,chkconfig
java-17-openjdk-devel-slowdebug,chkconfig
tigervnc-server-minimal,libXfont2
corosync-qnetd,shadow-utils
amanda-server,grep
perl-inc-latest,perl-File-Path
felix-osgi-compendium,javapackages-filesystem
mockito,javapackages-filesystem
texlive-thumbpdf,texlive-ifluatex
bacula-director,perl-libs
libwnck3,libXrender
gnome-initial-setup,389-ds-base
tigervnc,libXinerama
kernelshark,glibc
gnome-shell-extension-systemMonitor,gnome-shell-extension-common
lvm2,lvm2-libs
polkit,systemd-libs
ant-junit,junit
maven-lib,plexus-interpolation
kf5-kactivities,libgcc
libreoffice-impress,libreoffice-graphicfilter
libsane-hpaio,net-snmp-libs
selinux-policy,ModemManager
freeradius-unixODBC,unixODBC
pulseaudio-module-bluetooth,libX11
python3-qt5-base,qt5-qttools-libs-designer
dde,startdde
389-ds-base-snmp,nspr
pcp-zeroconf,pcp-pmda-openmetrics
perl-SGMLSpm,openjade
iputils,openssl-libs
ipmievd,openssl-libs
google-noto-sans-nko-fonts,fontpackages-filesystem
mod_dav_svn,libxcrypt
python3-idle,python36
gvfs,systemd-libs
libsass,libstdc++
librbd1,libstdc++
libyami,libstdc++
liblsan,libstdc++
libecap,libstdc++
libcdio,libstdc++
libtsan,libstdc++
libcmis,libstdc++
libical,libstdc++
libmwaw,libstdc++
gdb-headless,guile
perl-Compress-Raw-Bzip2,bzip2-libs
postgresql-pltcl,postgresql-server
lorax,parted
gedit,cairo
dotnet-runtime-5.0,libstdc++
fftw,info
libglvnd-glx,libXext
udisks2-lsm,libgudev
scap-workbench,openssh-clients
perl-English,perl-Exporter
redhat-lsb-core,shadow-utils
inkscape,gtk2
qt5-qtbase,dbus-libs
ibacm,libibumad
gvfs-mtp,bash
gvfs-afp,bash
python3-jinja2,platform-python-setuptools
lshw-gui,gdk-pixbuf2
libdrm,glibc
libtar,glibc
libtdb,glibc
libldb,glibc
libdmx,glibc
khmeros-base-fonts,khmeros-fonts-common
libdnf,glibc
xml-commons-resolver,bash
clutter,libXcomposite
rarian,coreutils
corosync-qdevice,nss-tools
perl-Variable-Magic,perl-Exporter
perl-Tie-RefHash,perl
perl-XML-SAX,perl-XML-NamespaceSupport
fwupd,gpgme
cairo-gobject,libXrender
java-17-openjdk-slowdebug,libX11
java-11-openjdk-slowdebug,libX11
perl-IO-Compress-Lzma,perl-libs
libloader,javapackages-tools
evolution-bogofilter,cairo
kf5-kwallet,libgcc
brltty,systemd
libreport-plugin-reportuploader,augeas-libs
perl-Sys-Guestfs,glibc
kf5-kparts,kf5-ki18n
perl-Date-ISO8601,perl-constant
python3-numpy,python3-libs
logwatch,perl-Exporter
sssd-ipa,libtdb
libknet1-compress-lzo2-plugin,lzo
pulseaudio-module-x11,libSM
torque,iptables-services
maven-plugin-testing-tools,javapackages-filesystem
perl-IO-All,perl-Scalar-List-Utils
fwupdate,glibc
paktype-naskh-basic-fonts,fontpackages-filesystem
avahi-ui,avahi-libs
ipa-client,libcurl
alsa-plugins-oss,alsa-lib
texlive-collection-fontsrecommended,texlive-tex-gyre-math
python3-configshell,python3-pyparsing
openldap-servers,libdb-utils
libisoburn,readline
qt5-qtwebengine,libXScrnSaver
opencryptoki-icsftok,openssl-libs
freerdp,glibc
fribidi,glibc
gnupg2,bzip2-libs
dracut-live,coreutils
kf5-kdelibs4support,kf5-kconfig-gui
squid,bash
dnssec-trigger-panel,gdk-pixbuf2
deepin-image-viewer,qt5-qtsvg
python3-pip,platform-python-pip
gtk3,libwayland-cursor
ipa-server-trust-ad,samba
lightdm-gtk,cairo
sssd-kcm,libtevent
libpeas-gtk,cairo
libreoffice-help-pl,libreoffice-core
openssl-perl,ModemManager
libfreehand,lcms2
perl-libwww-perl,perl-HTML-Parser
cockpit-storaged,python3-dbus
firewalld,python3-firewall
cryptsetup-reencrypt,libpwquality
libreoffice-core,librevenge
pcp-testsuite,pcp-pmda-libvirt
gnome-desktop3,libseccomp
dracut,grep
pcp-pmda-ds389,perl-PCP-PMDA
pcp-pmda-bind2,perl-PCP-PMDA
pcp-pmda-named,perl-PCP-PMDA
dde,qt5-qttranslations
pcp-pmda-nginx,perl-PCP-PMDA
pcp-pmda-redis,perl-PCP-PMDA
xorg-x11-server-Xdmx,libxshmfence
xorg-x11-server-Xvfb,libxshmfence
perl,perl-lib
python38-cffi,python38-pycparser
mpv,libglvnd-egl
perl-libnet,perl-libs
fcitx,fcitx-gtk2
deepin-editor,dtkgui
dleyna-server,gupnp-dlna
perl-interpreter,perl-threads
deepin-editor,libgcc
hostapd,bash
libgphoto2,libusbx
at,glibc
libadwaita-qt5,glibc
graphviz-python3,python3-libs
boost-iostreams,glibc
kf5-kidletime,qt5-qtbase-gui
erofs-fuse,glibc
maven-profile,plexus-containers-container-default
maven-project,plexus-containers-container-default
kf5-kservice,kf5-kcoreaddons
grub2-efi-ia32,grub2-tools
dhcp-client,glibc
texlive-mdwtools,texlive-kpathsea
latex2html,perl-Exporter
mpv,ffmpeg-libs
deepin-fcitxconfigtool-plugin,libgcc
deepin-fcitxconfigtool-plugin,dtkgui
libreoffice-langpack-zh-Hans,libreoffice-core
xorg-x11-fonts-100dpi,bash
libreoffice-langpack-zh-Hant,libreoffice-core
dosfstools,glibc
kscreenlocker,glibc
ruby-libs,gmp
jack-audio-connection-kit-example-clients,libdb
texlive-dvipng,texlive-base
xorg-x11-font-utils,glibc
python3-rrdtool,glibc
nfs-utils,quota
libgxps,libjpeg-turbo
subversion,lz4-libs
libtiff,libjpeg-turbo
rubygem-bundler,ruby-libs
texlive-collection-latex,texlive-mfnfss
libpmempool,libpmem
libquvi,libgpg-error
libxslt,libgpg-error
